GRU Baseline started at: Wed Mar 25 23:41:51 EDT 2026
=== Training ===
Device: cuda
Train: 159, Val: 28
Building dataset...
  59601 trials (13.2s)
Params: 2,006,786
Ep   1/30 | loss=0.0528 | val_r2=0.5584 * | lr=3.33e-04 | 11s
Ep   2/30 | loss=0.0327 | val_r2=0.6245 * | lr=5.00e-04 | 10s
Ep   3/30 | loss=0.0268 | val_r2=0.6646 * | lr=5.00e-04 | 10s
Ep   4/30 | loss=0.0225 | val_r2=0.6887 * | lr=4.98e-04 | 10s
Ep   5/30 | loss=0.0201 | val_r2=0.6819  | lr=4.93e-04 | 11s
Ep   6/30 | loss=0.0181 | val_r2=0.6947 * | lr=4.85e-04 | 11s
Ep   7/30 | loss=0.0166 | val_r2=0.6448  | lr=4.74e-04 | 10s
Ep   8/30 | loss=0.0150 | val_r2=0.6795  | lr=4.59e-04 | 9s
Ep   9/30 | loss=0.0139 | val_r2=0.6743  | lr=4.42e-04 | 10s
Ep  10/30 | loss=0.0128 | val_r2=0.6953 * | lr=4.22e-04 | 9s
Ep  11/30 | loss=0.0118 | val_r2=0.6870  | lr=4.00e-04 | 9s
Ep  12/30 | loss=0.0109 | val_r2=0.6905  | lr=3.76e-04 | 10s
Ep  13/30 | loss=0.0100 | val_r2=0.7045 * | lr=3.51e-04 | 10s
Ep  14/30 | loss=0.0093 | val_r2=0.6965  | lr=3.23e-04 | 10s
Ep  15/30 | loss=0.0085 | val_r2=0.6899  | lr=2.95e-04 | 11s
Ep  16/30 | loss=0.0078 | val_r2=0.6876  | lr=2.67e-04 | 9s
Ep  17/30 | loss=0.0072 | val_r2=0.6744  | lr=2.38e-04 | 10s
Ep  18/30 | loss=0.0066 | val_r2=0.6797  | lr=2.10e-04 | 10s
Ep  19/30 | loss=0.0060 | val_r2=0.6851  | lr=1.82e-04 | 10s
Ep  20/30 | loss=0.0056 | val_r2=0.6870  | lr=1.54e-04 | 10s
Ep  21/30 | loss=0.0052 | val_r2=0.6725  | lr=1.29e-04 | 10s
Ep  22/30 | loss=0.0048 | val_r2=0.6849  | lr=1.05e-04 | 9s
Ep  23/30 | loss=0.0045 | val_r2=0.6817  | lr=8.27e-05 | 10s
Ep  24/30 | loss=0.0043 | val_r2=0.6752  | lr=6.29e-05 | 10s
Ep  25/30 | loss=0.0041 | val_r2=0.6730  | lr=4.57e-05 | 10s
Ep  26/30 | loss=0.0040 | val_r2=0.6779  | lr=3.13e-05 | 10s
Ep  27/30 | loss=0.0038 | val_r2=0.6746  | lr=1.99e-05 | 10s
Ep  28/30 | loss=0.0038 | val_r2=0.6764  | lr=1.17e-05 | 10s
Ep  29/30 | loss=0.0037 | val_r2=0.6745  | lr=6.67e-06 | 10s
Ep  30/30 | loss=0.0037 | val_r2=0.6735  | lr=5.00e-06 | 10s

Full validation with best model...
Full val R²: 0.4977 (best epoch 13)
Saved config.json, best_model.pt, last_model.pt

=== Generating submission ===
Device: cuda
Loaded: best_model.pt (epoch 13, val_r2=0.7044814861689953)
Test sessions: 125
  [1/125] D002: 24246 bins (1.2s)
  [2/125] D003: 24647 bins (1.1s)
  [3/125] D004: 23764 bins (1.1s)
  [4/125] D005: 20828 bins (1.1s)
  [5/125] D006: 26032 bins (1.1s)
  [6/125] D008: 25489 bins (1.2s)
  [7/125] D010: 25503 bins (1.1s)
  [8/125] D012: 23475 bins (1.1s)
  [9/125] D013: 23900 bins (1.1s)
  [10/125] D014: 24188 bins (1.1s)
  [11/125] D015: 25023 bins (1.1s)
  [12/125] D016: 21120 bins (1.1s)
  [13/125] D017: 22031 bins (1.1s)
  [14/125] D020: 24685 bins (1.1s)
  [15/125] D025: 24874 bins (1.1s)
  [16/125] D027: 24231 bins (1.1s)
  [17/125] D028: 26305 bins (1.2s)
  [18/125] D029: 24818 bins (1.1s)
  [19/125] D034: 24066 bins (1.1s)
  [20/125] D035: 21037 bins (1.1s)
  [21/125] D036: 25057 bins (1.1s)
  [22/125] D039: 26497 bins (1.2s)
  [23/125] D040: 24304 bins (1.1s)
  [24/125] D041: 25052 bins (1.1s)
  [25/125] D046: 21001 bins (1.1s)
  [26/125] D047: 25612 bins (1.1s)
  [27/125] D048: 22225 bins (1.1s)
  [28/125] D051: 24997 bins (1.1s)
  [29/125] D054: 23915 bins (1.1s)
  [30/125] D055: 25719 bins (1.1s)
  [31/125] D057: 24450 bins (1.1s)
  [32/125] D059: 24618 bins (1.1s)
  [33/125] D060: 22292 bins (1.1s)
  [34/125] D061: 25620 bins (1.1s)
  [35/125] D070: 23416 bins (1.1s)
  [36/125] D075: 21566 bins (1.1s)
  [37/125] D076: 21535 bins (1.1s)
  [38/125] D077: 24188 bins (1.1s)
  [39/125] D078: 23653 bins (1.2s)
  [40/125] D085: 24670 bins (1.1s)
  [41/125] D086: 25191 bins (1.1s)
  [42/125] D089: 21878 bins (1.1s)
  [43/125] D092: 26243 bins (1.1s)
  [44/125] D097: 22194 bins (1.1s)
  [45/125] D098: 24193 bins (1.1s)
  [46/125] D099: 24942 bins (1.1s)
  [47/125] D102: 21444 bins (1.1s)
  [48/125] D104: 25760 bins (1.2s)
  [49/125] D105: 24699 bins (1.1s)
  [50/125] D106: 25163 bins (1.2s)
  [51/125] D109: 22504 bins (1.1s)
  [52/125] D110: 21546 bins (1.1s)
  [53/125] D112: 25547 bins (1.1s)
  [54/125] D114: 21763 bins (1.1s)
  [55/125] D116: 23137 bins (1.1s)
  [56/125] D121: 28655 bins (1.2s)
  [57/125] D129: 24399 bins (1.1s)
  [58/125] D135: 25084 bins (1.1s)
  [59/125] D136: 23816 bins (1.1s)
  [60/125] D142: 21434 bins (1.1s)
  [61/125] D143: 21171 bins (1.1s)
  [62/125] D144: 26791 bins (1.1s)
  [63/125] D145: 23359 bins (1.1s)
  [64/125] D146: 23994 bins (1.1s)
  [65/125] D151: 25015 bins (1.1s)
  [66/125] D155: 24682 bins (1.1s)
  [67/125] D156: 26109 bins (1.2s)
  [68/125] D157: 23542 bins (1.1s)
  [69/125] D161: 21964 bins (1.1s)
  [70/125] D167: 26165 bins (1.2s)
  [71/125] D170: 26616 bins (1.2s)
  [72/125] D171: 24535 bins (1.1s)
  [73/125] D175: 25290 bins (1.2s)
  [74/125] D176: 25916 bins (1.1s)
  [75/125] D182: 20848 bins (1.1s)
  [76/125] D183: 25144 bins (1.2s)
  [77/125] D185: 24055 bins (1.1s)
  [78/125] D190: 25177 bins (1.1s)
  [79/125] D192: 22286 bins (1.1s)
  [80/125] D194: 22384 bins (1.1s)
  [81/125] D195: 23565 bins (1.1s)
  [82/125] D198: 25248 bins (1.1s)
  [83/125] D199: 25166 bins (1.1s)
  [84/125] D200: 24481 bins (1.1s)
  [85/125] D201: 24437 bins (1.1s)
  [86/125] D213: 24786 bins (1.1s)
  [87/125] D216: 21839 bins (1.1s)
  [88/125] D218: 24982 bins (1.1s)
  [89/125] D222: 22725 bins (1.1s)
  [90/125] D224: 24529 bins (1.1s)
  [91/125] D226: 21153 bins (1.1s)
  [92/125] D233: 22545 bins (1.1s)
  [93/125] D234: 23720 bins (1.1s)
  [94/125] D236: 31505 bins (1.2s)
  [95/125] D237: 24493 bins (1.1s)
  [96/125] D239: 25325 bins (1.1s)
  [97/125] D241: 25728 bins (1.1s)
  [98/125] D242: 25540 bins (1.2s)
  [99/125] D243: 25453 bins (1.1s)
  [100/125] D245: 20848 bins (1.1s)
  [101/125] D247: 25354 bins (1.1s)
  [102/125] D253: 24810 bins (1.1s)
  [103/125] D254: 25763 bins (1.1s)
  [104/125] D255: 21821 bins (1.1s)
  [105/125] D257: 21381 bins (1.1s)
  [106/125] D260: 22145 bins (1.1s)
  [107/125] D267: 24945 bins (1.1s)
  [108/125] D268: 24487 bins (1.1s)
  [109/125] D272: 20878 bins (1.1s)
  [110/125] D273: 21338 bins (1.1s)
  [111/125] D276: 20859 bins (1.1s)
  [112/125] D277: 21283 bins (1.1s)
  [113/125] D282: 21023 bins (1.1s)
  [114/125] D283: 26003 bins (1.1s)
  [115/125] D284: 25068 bins (1.2s)
  [116/125] D287: 23833 bins (1.1s)
  [117/125] D289: 21498 bins (1.1s)
  [118/125] D291: 21337 bins (1.1s)
  [119/125] D296: 22568 bins (1.1s)
  [120/125] D299: 21878 bins (1.1s)
  [121/125] D300: 24591 bins (1.1s)
  [122/125] D303: 24664 bins (1.2s)
  [123/125] D304: 22364 bins (1.1s)
  [124/125] D307: 26506 bins (1.2s)
  [125/125] D308: 24181 bins (1.2s)
Submission saved to submission.csv (2993930 rows)
Finished at: Wed Mar 25 23:52:29 EDT 2026
Total time: 10m 38s
