Device: cuda
Train: 159, Val: 28
Building dataset...
  59601 trials (12.7s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_finetune/train.py:86: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,238,306
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/best_model.pt
  Phase 1 checkpoint: epoch=19, val_nmse=0.7387984395027161
  Transferred 57 tensors, skipped 0
Ep   1/40 | loss=0.0688 | val_r2=0.3604 * | lr_enc=4.00e-06 lr_hd=2.00e-04 | 12s
Ep   2/40 | loss=0.0524 | val_r2=0.5112 * | lr_enc=6.00e-06 lr_hd=3.00e-04 | 10s
Ep   3/40 | loss=0.0433 | val_r2=0.5639 * | lr_enc=8.00e-06 lr_hd=4.00e-04 | 10s
Ep   4/40 | loss=0.0386 | val_r2=0.5997 * | lr_enc=1.00e-05 lr_hd=5.00e-04 | 10s
Ep   5/40 | loss=0.0355 | val_r2=0.6291 * | lr_enc=1.00e-05 lr_hd=5.00e-04 | 10s
Ep   6/40 | loss=0.0330 | val_r2=0.6485 * | lr_enc=9.98e-06 lr_hd=4.99e-04 | 10s
Ep   7/40 | loss=0.0314 | val_r2=0.6452  | lr_enc=9.92e-06 lr_hd=4.96e-04 | 11s
Ep   8/40 | loss=0.0301 | val_r2=0.6622 * | lr_enc=9.82e-06 lr_hd=4.91e-04 | 10s
Ep   9/40 | loss=0.0290 | val_r2=0.6640 * | lr_enc=9.68e-06 lr_hd=4.84e-04 | 11s
Ep  10/40 | loss=0.0280 | val_r2=0.6723 * | lr_enc=9.51e-06 lr_hd=4.75e-04 | 10s
Ep  11/40 | loss=0.0274 | val_r2=0.6753 * | lr_enc=9.30e-06 lr_hd=4.65e-04 | 10s
Ep  12/40 | loss=0.0266 | val_r2=0.6619  | lr_enc=9.05e-06 lr_hd=4.53e-04 | 10s
Ep  13/40 | loss=0.0260 | val_r2=0.6721  | lr_enc=8.78e-06 lr_hd=4.39e-04 | 11s
Ep  14/40 | loss=0.0255 | val_r2=0.6761 * | lr_enc=8.47e-06 lr_hd=4.24e-04 | 10s
Ep  15/40 | loss=0.0251 | val_r2=0.6809 * | lr_enc=8.14e-06 lr_hd=4.07e-04 | 10s
Ep  16/40 | loss=0.0247 | val_r2=0.6896 * | lr_enc=7.78e-06 lr_hd=3.89e-04 | 10s
Ep  17/40 | loss=0.0242 | val_r2=0.6805  | lr_enc=7.40e-06 lr_hd=3.70e-04 | 10s
Ep  18/40 | loss=0.0239 | val_r2=0.6798  | lr_enc=7.00e-06 lr_hd=3.50e-04 | 10s
Ep  19/40 | loss=0.0236 | val_r2=0.6749  | lr_enc=6.58e-06 lr_hd=3.29e-04 | 11s
Ep  20/40 | loss=0.0234 | val_r2=0.6845  | lr_enc=6.15e-06 lr_hd=3.08e-04 | 10s
Ep  21/40 | loss=0.0232 | val_r2=0.6871  | lr_enc=5.71e-06 lr_hd=2.86e-04 | 10s
Ep  22/40 | loss=0.0229 | val_r2=0.6891  | lr_enc=5.27e-06 lr_hd=2.64e-04 | 10s
Ep  23/40 | loss=0.0227 | val_r2=0.6937 * | lr_enc=4.83e-06 lr_hd=2.41e-04 | 10s
Ep  24/40 | loss=0.0225 | val_r2=0.6889  | lr_enc=4.39e-06 lr_hd=2.19e-04 | 10s
Ep  25/40 | loss=0.0223 | val_r2=0.6925  | lr_enc=3.95e-06 lr_hd=1.97e-04 | 10s
Ep  26/40 | loss=0.0222 | val_r2=0.6876  | lr_enc=3.52e-06 lr_hd=1.76e-04 | 11s
Ep  27/40 | loss=0.0220 | val_r2=0.6920  | lr_enc=3.10e-06 lr_hd=1.55e-04 | 10s
Ep  28/40 | loss=0.0220 | val_r2=0.6963 * | lr_enc=2.70e-06 lr_hd=1.35e-04 | 10s
Ep  29/40 | loss=0.0218 | val_r2=0.6911  | lr_enc=2.32e-06 lr_hd=1.16e-04 | 11s
Ep  30/40 | loss=0.0217 | val_r2=0.6919  | lr_enc=1.96e-06 lr_hd=9.82e-05 | 11s
Ep  31/40 | loss=0.0216 | val_r2=0.6908  | lr_enc=1.63e-06 lr_hd=8.15e-05 | 10s
Ep  32/40 | loss=0.0216 | val_r2=0.6897  | lr_enc=1.32e-06 lr_hd=6.61e-05 | 11s
Ep  33/40 | loss=0.0215 | val_r2=0.6891  | lr_enc=1.05e-06 lr_hd=5.23e-05 | 10s
Ep  34/40 | loss=0.0214 | val_r2=0.6928  | lr_enc=8.01e-07 lr_hd=4.00e-05 | 10s
Ep  35/40 | loss=0.0214 | val_r2=0.6907  | lr_enc=5.90e-07 lr_hd=2.95e-05 | 11s
Ep  36/40 | loss=0.0214 | val_r2=0.6920  | lr_enc=4.16e-07 lr_hd=2.08e-05 | 11s
Ep  37/40 | loss=0.0213 | val_r2=0.6910  | lr_enc=2.78e-07 lr_hd=1.39e-05 | 11s
Ep  38/40 | loss=0.0213 | val_r2=0.6917  | lr_enc=1.80e-07 lr_hd=8.98e-06 | 10s
Ep  39/40 | loss=0.0213 | val_r2=0.6921  | lr_enc=1.20e-07 lr_hd=6.00e-06 | 11s
Ep  40/40 | loss=0.0214 | val_r2=0.6922  | lr_enc=1.00e-07 lr_hd=5.00e-06 | 11s

Full validation with best model...
Full val R²: 0.5216 (best epoch 28)
Saved config.json, best_model.pt, last_model.pt
