Started at: Sun Mar 29 04:05:22 PM EDT 2026
Array task: 0 — config: 2s_88ov_nozero
=== Training ===
Device: cuda
Config: 2s_88ov_nozero
Window: 100 bins (2.0s), stride: 12 (88% overlap)
Outdir: /scratch/ml8347/neuroinformatics/project2/phase2/mae_mt_2s88ov/runs/2s_88ov_nozero
Train: 159, Val: 28, Val subset: 8
Building dataset...
  Added Phase 1 data: 226 sessions (['train'])
  802177 windows (54.3s)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
Ep   1/50 | loss=0.0454 (pos=0.0442 vel=0.0004 cons=0.0043) | val_r2=0.6498 * | lr_enc=4.00e-06 lr_head=2.00e-04 | 225s
Ep   2/50 | loss=0.0295 (pos=0.0286 vel=0.0003 cons=0.0032) | val_r2=0.7101 * | lr_enc=6.00e-06 lr_head=3.00e-04 | 208s
Ep   3/50 | loss=0.0243 (pos=0.0235 vel=0.0003 cons=0.0026) | val_r2=0.7481 * | lr_enc=8.00e-06 lr_head=4.00e-04 | 209s
Ep   4/50 | loss=0.0214 (pos=0.0207 vel=0.0003 cons=0.0023) | val_r2=0.7645 * | lr_enc=1.00e-05 lr_head=5.00e-04 | 212s
Ep   5/50 | loss=0.0196 (pos=0.0189 vel=0.0003 cons=0.0021) | val_r2=0.7829 * | lr_enc=1.00e-05 lr_head=5.00e-04 | 221s
Ep   6/50 | loss=0.0182 (pos=0.0176 vel=0.0003 cons=0.0019) | val_r2=0.7854 * | lr_enc=9.99e-06 lr_head=4.99e-04 | 213s
Ep   7/50 | loss=0.0172 (pos=0.0166 vel=0.0002 cons=0.0019) | val_r2=0.8004 * | lr_enc=9.95e-06 lr_head=4.98e-04 | 210s
Ep   8/50 | loss=0.0164 (pos=0.0159 vel=0.0002 cons=0.0018) | val_r2=0.8125 * | lr_enc=9.89e-06 lr_head=4.95e-04 | 210s
Ep   9/50 | loss=0.0158 (pos=0.0153 vel=0.0002 cons=0.0017) | val_r2=0.8196 * | lr_enc=9.81e-06 lr_head=4.90e-04 | 210s
Ep  10/50 | loss=0.0153 (pos=0.0148 vel=0.0002 cons=0.0017) | val_r2=0.8275 * | lr_enc=9.70e-06 lr_head=4.85e-04 | 215s
Ep  11/50 | loss=0.0149 (pos=0.0143 vel=0.0002 cons=0.0017) | val_r2=0.8294 * | lr_enc=9.57e-06 lr_head=4.79e-04 | 210s
