MAE multitask decoder started at: Sat Mar 28 21:17:20 EDT 2026
=== Training ===

=== Submission ===
Device: cuda
Loaded: best_model.pt (epoch 38, val_r2=0.7287135893308823)
Inference config: window_size=192, window_stride=96, position_blend=0.750
Test sessions: 125
  [1/125] D002: 24246 bins (1.1s)
  [2/125] D003: 24647 bins (0.5s)
  [3/125] D004: 23764 bins (0.5s)
  [4/125] D005: 20828 bins (0.4s)
  [5/125] D006: 26032 bins (0.6s)
  [6/125] D008: 25489 bins (0.5s)
  [7/125] D010: 25503 bins (0.6s)
  [8/125] D012: 23475 bins (0.5s)
  [9/125] D013: 23900 bins (0.5s)
  [10/125] D014: 24188 bins (0.5s)
  [11/125] D015: 25023 bins (0.5s)
  [12/125] D016: 21120 bins (0.5s)
  [13/125] D017: 22031 bins (0.5s)
  [14/125] D020: 24685 bins (0.5s)
  [15/125] D025: 24874 bins (0.6s)
  [16/125] D027: 24231 bins (0.5s)
  [17/125] D028: 26305 bins (0.6s)
  [18/125] D029: 24818 bins (0.5s)
  [19/125] D034: 24066 bins (0.5s)
  [20/125] D035: 21037 bins (0.4s)
  [21/125] D036: 25057 bins (0.5s)
  [22/125] D039: 26497 bins (0.6s)
  [23/125] D040: 24304 bins (0.5s)
  [24/125] D041: 25052 bins (0.5s)
  [25/125] D046: 21001 bins (0.4s)
  [26/125] D047: 25612 bins (0.6s)
  [27/125] D048: 22225 bins (0.5s)
  [28/125] D051: 24997 bins (0.5s)
  [29/125] D054: 23915 bins (0.5s)
  [30/125] D055: 25719 bins (0.5s)
  [31/125] D057: 24450 bins (0.5s)
  [32/125] D059: 24618 bins (0.5s)
  [33/125] D060: 22292 bins (0.5s)
  [34/125] D061: 25620 bins (0.5s)
  [35/125] D070: 23416 bins (0.5s)
  [36/125] D075: 21566 bins (0.5s)
  [37/125] D076: 21535 bins (0.5s)
  [38/125] D077: 24188 bins (0.5s)
  [39/125] D078: 23653 bins (0.5s)
  [40/125] D085: 24670 bins (0.5s)
  [41/125] D086: 25191 bins (0.6s)
  [42/125] D089: 21878 bins (0.5s)
  [43/125] D092: 26243 bins (0.6s)
  [44/125] D097: 22194 bins (0.5s)
  [45/125] D098: 24193 bins (0.5s)
  [46/125] D099: 24942 bins (0.5s)
  [47/125] D102: 21444 bins (0.5s)
  [48/125] D104: 25760 bins (0.5s)
  [49/125] D105: 24699 bins (0.5s)
  [50/125] D106: 25163 bins (0.6s)
  [51/125] D109: 22504 bins (0.5s)
  [52/125] D110: 21546 bins (0.5s)
  [53/125] D112: 25547 bins (0.6s)
  [54/125] D114: 21763 bins (0.5s)
  [55/125] D116: 23137 bins (0.5s)
  [56/125] D121: 28655 bins (0.6s)
  [57/125] D129: 24399 bins (0.5s)
  [58/125] D135: 25084 bins (0.5s)
  [59/125] D136: 23816 bins (0.5s)
  [60/125] D142: 21434 bins (0.5s)
  [61/125] D143: 21171 bins (0.6s)
  [62/125] D144: 26791 bins (0.6s)
  [63/125] D145: 23359 bins (0.5s)
  [64/125] D146: 23994 bins (0.5s)
  [65/125] D151: 25015 bins (0.5s)
  [66/125] D155: 24682 bins (0.5s)
  [67/125] D156: 26109 bins (0.5s)
  [68/125] D157: 23542 bins (0.5s)
  [69/125] D161: 21964 bins (0.5s)
  [70/125] D167: 26165 bins (0.6s)
  [71/125] D170: 26616 bins (0.6s)
  [72/125] D171: 24535 bins (0.5s)
  [73/125] D175: 25290 bins (0.6s)
  [74/125] D176: 25916 bins (0.6s)
  [75/125] D182: 20848 bins (0.5s)
  [76/125] D183: 25144 bins (0.5s)
  [77/125] D185: 24055 bins (0.5s)
  [78/125] D190: 25177 bins (0.5s)
  [79/125] D192: 22286 bins (0.5s)
  [80/125] D194: 22384 bins (0.5s)
  [81/125] D195: 23565 bins (0.5s)
