Device: cuda
Train: 159, Val: 28, Val subset: 8
Building dataset...
  59601 trials (11.6s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_decoder/train.py:94: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
Ep   1/50 | loss=0.0678 (pos=0.0666 vel=0.0007 cons=0.0033) | val_r2=0.3395 * | lr_enc=4.00e-06 lr_head=2.00e-04 | 21s
Ep   2/50 | loss=0.0515 (pos=0.0503 vel=0.0004 cons=0.0039) | val_r2=0.4743 * | lr_enc=6.00e-06 lr_head=3.00e-04 | 19s
Ep   3/50 | loss=0.0432 (pos=0.0421 vel=0.0003 cons=0.0037) | val_r2=0.5225 * | lr_enc=8.00e-06 lr_head=4.00e-04 | 19s
Ep   4/50 | loss=0.0382 (pos=0.0372 vel=0.0003 cons=0.0033) | val_r2=0.5742 * | lr_enc=1.00e-05 lr_head=5.00e-04 | 19s
Ep   5/50 | loss=0.0349 (pos=0.0340 vel=0.0003 cons=0.0030) | val_r2=0.5998 * | lr_enc=1.00e-05 lr_head=5.00e-04 | 19s
Ep   6/50 | loss=0.0323 (pos=0.0314 vel=0.0003 cons=0.0029) | val_r2=0.6126 * | lr_enc=9.99e-06 lr_head=4.99e-04 | 19s
Ep   7/50 | loss=0.0305 (pos=0.0297 vel=0.0003 cons=0.0028) | val_r2=0.6232 * | lr_enc=9.95e-06 lr_head=4.98e-04 | 20s
Ep   8/50 | loss=0.0291 (pos=0.0283 vel=0.0003 cons=0.0028) | val_r2=0.6421 * | lr_enc=9.89e-06 lr_head=4.95e-04 | 19s
Ep   9/50 | loss=0.0280 (pos=0.0272 vel=0.0003 cons=0.0027) | val_r2=0.6454 * | lr_enc=9.81e-06 lr_head=4.90e-04 | 20s
Ep  10/50 | loss=0.0270 (pos=0.0263 vel=0.0003 cons=0.0026) | val_r2=0.6524 * | lr_enc=9.70e-06 lr_head=4.85e-04 | 19s
Ep  11/50 | loss=0.0263 (pos=0.0255 vel=0.0003 cons=0.0026) | val_r2=0.6711 * | lr_enc=9.57e-06 lr_head=4.79e-04 | 19s
Ep  12/50 | loss=0.0257 (pos=0.0249 vel=0.0003 cons=0.0026) | val_r2=0.6683  | lr_enc=9.42e-06 lr_head=4.71e-04 | 20s
Ep  13/50 | loss=0.0251 (pos=0.0243 vel=0.0003 cons=0.0025) | val_r2=0.6830 * | lr_enc=9.25e-06 lr_head=4.62e-04 | 20s
Ep  14/50 | loss=0.0247 (pos=0.0239 vel=0.0003 cons=0.0025) | val_r2=0.6747  | lr_enc=9.05e-06 lr_head=4.53e-04 | 19s
Ep  15/50 | loss=0.0242 (pos=0.0234 vel=0.0003 cons=0.0025) | val_r2=0.6828  | lr_enc=8.84e-06 lr_head=4.42e-04 | 20s
Ep  16/50 | loss=0.0239 (pos=0.0231 vel=0.0003 cons=0.0025) | val_r2=0.6836 * | lr_enc=8.61e-06 lr_head=4.31e-04 | 19s
Ep  17/50 | loss=0.0234 (pos=0.0226 vel=0.0002 cons=0.0025) | val_r2=0.6871 * | lr_enc=8.36e-06 lr_head=4.18e-04 | 19s
Ep  18/50 | loss=0.0230 (pos=0.0223 vel=0.0002 cons=0.0025) | val_r2=0.6969 * | lr_enc=8.10e-06 lr_head=4.05e-04 | 19s
Ep  19/50 | loss=0.0228 (pos=0.0220 vel=0.0002 cons=0.0024) | val_r2=0.6990 * | lr_enc=7.82e-06 lr_head=3.91e-04 | 19s
Ep  20/50 | loss=0.0225 (pos=0.0217 vel=0.0002 cons=0.0024) | val_r2=0.7004 * | lr_enc=7.52e-06 lr_head=3.76e-04 | 20s
Ep  21/50 | loss=0.0221 (pos=0.0214 vel=0.0002 cons=0.0024) | val_r2=0.7023 * | lr_enc=7.22e-06 lr_head=3.61e-04 | 20s
Ep  22/50 | loss=0.0219 (pos=0.0212 vel=0.0002 cons=0.0024) | val_r2=0.7062 * | lr_enc=6.90e-06 lr_head=3.45e-04 | 20s
Ep  23/50 | loss=0.0217 (pos=0.0210 vel=0.0002 cons=0.0024) | val_r2=0.7052  | lr_enc=6.58e-06 lr_head=3.29e-04 | 20s
