Device: cuda
Train: 159, Val: 28, Val subset: 8
Building dataset...
  31989 windows (13.2s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_decoder_10s_75ov/train.py:101: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
Ep   1/50 | loss=0.0838 (pos=0.0831 vel=0.0007 cons=0.0014) | val_r2=-0.7867 * | lr_enc=4.00e-06 lr_head=2.00e-04 | 23s
Ep   2/50 | loss=0.0812 (pos=0.0803 vel=0.0005 cons=0.0024) | val_r2=-0.7498 * | lr_enc=6.00e-06 lr_head=3.00e-04 | 20s
Ep   3/50 | loss=0.0772 (pos=0.0762 vel=0.0005 cons=0.0031) | val_r2=-0.4010 * | lr_enc=8.00e-06 lr_head=4.00e-04 | 20s
Ep   4/50 | loss=0.0711 (pos=0.0699 vel=0.0004 cons=0.0041) | val_r2=-0.3239 * | lr_enc=1.00e-05 lr_head=5.00e-04 | 20s
Ep   5/50 | loss=0.0638 (pos=0.0623 vel=0.0004 cons=0.0050) | val_r2=0.0259 * | lr_enc=1.00e-05 lr_head=5.00e-04 | 20s
Ep   6/50 | loss=0.0572 (pos=0.0556 vel=0.0004 cons=0.0055) | val_r2=0.1097 * | lr_enc=9.99e-06 lr_head=4.99e-04 | 20s
Ep   7/50 | loss=0.0523 (pos=0.0507 vel=0.0004 cons=0.0056) | val_r2=0.2009 * | lr_enc=9.95e-06 lr_head=4.98e-04 | 20s
Ep   8/50 | loss=0.0488 (pos=0.0472 vel=0.0004 cons=0.0056) | val_r2=0.2435 * | lr_enc=9.89e-06 lr_head=4.95e-04 | 20s
Ep   9/50 | loss=0.0460 (pos=0.0445 vel=0.0004 cons=0.0055) | val_r2=0.2817 * | lr_enc=9.81e-06 lr_head=4.90e-04 | 20s
Ep  10/50 | loss=0.0438 (pos=0.0423 vel=0.0004 cons=0.0053) | val_r2=0.3020 * | lr_enc=9.70e-06 lr_head=4.85e-04 | 20s
Ep  11/50 | loss=0.0419 (pos=0.0404 vel=0.0004 cons=0.0052) | val_r2=0.2405  | lr_enc=9.57e-06 lr_head=4.79e-04 | 20s
Ep  12/50 | loss=0.0403 (pos=0.0388 vel=0.0004 cons=0.0051) | val_r2=0.3668 * | lr_enc=9.42e-06 lr_head=4.71e-04 | 20s
Ep  13/50 | loss=0.0389 (pos=0.0375 vel=0.0004 cons=0.0050) | val_r2=0.3599  | lr_enc=9.25e-06 lr_head=4.62e-04 | 20s
Ep  14/50 | loss=0.0377 (pos=0.0363 vel=0.0004 cons=0.0049) | val_r2=0.3636  | lr_enc=9.05e-06 lr_head=4.53e-04 | 20s
Ep  15/50 | loss=0.0366 (pos=0.0353 vel=0.0004 cons=0.0049) | val_r2=0.3421  | lr_enc=8.84e-06 lr_head=4.42e-04 | 20s
Ep  16/50 | loss=0.0357 (pos=0.0343 vel=0.0004 cons=0.0048) | val_r2=0.3733 * | lr_enc=8.61e-06 lr_head=4.31e-04 | 20s
Ep  17/50 | loss=0.0347 (pos=0.0334 vel=0.0003 cons=0.0047) | val_r2=0.4290 * | lr_enc=8.36e-06 lr_head=4.18e-04 | 20s
Ep  18/50 | loss=0.0340 (pos=0.0327 vel=0.0003 cons=0.0046) | val_r2=0.4059  | lr_enc=8.10e-06 lr_head=4.05e-04 | 20s
Ep  19/50 | loss=0.0333 (pos=0.0319 vel=0.0003 cons=0.0046) | val_r2=0.3508  | lr_enc=7.82e-06 lr_head=3.91e-04 | 20s
Ep  20/50 | loss=0.0326 (pos=0.0313 vel=0.0003 cons=0.0045) | val_r2=0.4146  | lr_enc=7.52e-06 lr_head=3.76e-04 | 20s
Ep  21/50 | loss=0.0320 (pos=0.0307 vel=0.0003 cons=0.0045) | val_r2=0.4475 * | lr_enc=7.22e-06 lr_head=3.61e-04 | 19s
Ep  22/50 | loss=0.0315 (pos=0.0302 vel=0.0003 cons=0.0044) | val_r2=0.4022  | lr_enc=6.90e-06 lr_head=3.45e-04 | 20s
