Device: cuda
Config: 2s_50ov_nozero
Window: 100 bins (2.0s), stride: 50 (50% overlap)
Outdir: /scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_p1_sweep/runs/2s_50ov_nozero
Train: 159, Val: 28, Val subset: 8
Building dataset...
  Added Phase 1 data: 226 sessions (['train'])
  192668 windows (21.1s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_p1_sweep/train.py:124: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_p1_sweep/train.py:297: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  return loss, {"pos_loss": float(pos_loss), "vel_loss": float(vel_loss), "cons_loss": float(cons_loss)}
Ep   1/50 | loss=0.0609 (pos=0.0595 vel=0.0005 cons=0.0045) | val_r2=0.4497 * | lr_enc=4.00e-06 lr_head=2.00e-04 | 56s
Ep   2/50 | loss=0.0435 (pos=0.0422 vel=0.0003 cons=0.0044) | val_r2=0.5999 * | lr_enc=6.00e-06 lr_head=3.00e-04 | 52s
Ep   3/50 | loss=0.0345 (pos=0.0335 vel=0.0003 cons=0.0036) | val_r2=0.6533 * | lr_enc=8.00e-06 lr_head=4.00e-04 | 54s
Ep   4/50 | loss=0.0299 (pos=0.0290 vel=0.0003 cons=0.0031) | val_r2=0.6862 * | lr_enc=1.00e-05 lr_head=5.00e-04 | 54s
Ep   5/50 | loss=0.0269 (pos=0.0261 vel=0.0003 cons=0.0028) | val_r2=0.7098 * | lr_enc=1.00e-05 lr_head=5.00e-04 | 54s
Ep   6/50 | loss=0.0248 (pos=0.0240 vel=0.0003 cons=0.0026) | val_r2=0.7163 * | lr_enc=9.99e-06 lr_head=4.99e-04 | 52s
Ep   7/50 | loss=0.0233 (pos=0.0226 vel=0.0003 cons=0.0025) | val_r2=0.7265 * | lr_enc=9.95e-06 lr_head=4.98e-04 | 50s
Ep   8/50 | loss=0.0223 (pos=0.0216 vel=0.0003 cons=0.0024) | val_r2=0.7414 * | lr_enc=9.89e-06 lr_head=4.95e-04 | 52s
Ep   9/50 | loss=0.0215 (pos=0.0208 vel=0.0003 cons=0.0023) | val_r2=0.7436 * | lr_enc=9.81e-06 lr_head=4.90e-04 | 50s
Ep  10/50 | loss=0.0208 (pos=0.0201 vel=0.0003 cons=0.0022) | val_r2=0.7616 * | lr_enc=9.70e-06 lr_head=4.85e-04 | 53s
Ep  11/50 | loss=0.0202 (pos=0.0195 vel=0.0003 cons=0.0022) | val_r2=0.7550  | lr_enc=9.57e-06 lr_head=4.79e-04 | 53s
Ep  12/50 | loss=0.0197 (pos=0.0190 vel=0.0003 cons=0.0021) | val_r2=0.7623 * | lr_enc=9.42e-06 lr_head=4.71e-04 | 54s
Ep  13/50 | loss=0.0193 (pos=0.0186 vel=0.0003 cons=0.0021) | val_r2=0.7710 * | lr_enc=9.25e-06 lr_head=4.62e-04 | 53s
Ep  14/50 | loss=0.0189 (pos=0.0183 vel=0.0003 cons=0.0020) | val_r2=0.7667  | lr_enc=9.05e-06 lr_head=4.53e-04 | 50s
Ep  15/50 | loss=0.0186 (pos=0.0179 vel=0.0003 cons=0.0020) | val_r2=0.7712 * | lr_enc=8.84e-06 lr_head=4.42e-04 | 54s
Ep  16/50 | loss=0.0182 (pos=0.0176 vel=0.0003 cons=0.0020) | val_r2=0.7710  | lr_enc=8.61e-06 lr_head=4.31e-04 | 52s
Ep  17/50 | loss=0.0179 (pos=0.0173 vel=0.0003 cons=0.0020) | val_r2=0.7748 * | lr_enc=8.36e-06 lr_head=4.18e-04 | 50s
Ep  18/50 | loss=0.0177 (pos=0.0171 vel=0.0003 cons=0.0020) | val_r2=0.7854 * | lr_enc=8.10e-06 lr_head=4.05e-04 | 50s
Ep  19/50 | loss=0.0174 (pos=0.0168 vel=0.0002 cons=0.0019) | val_r2=0.7739  | lr_enc=7.82e-06 lr_head=3.91e-04 | 50s
Ep  20/50 | loss=0.0172 (pos=0.0166 vel=0.0002 cons=0.0019) | val_r2=0.7903 * | lr_enc=7.52e-06 lr_head=3.76e-04 | 50s
Ep  21/50 | loss=0.0170 (pos=0.0164 vel=0.0002 cons=0.0019) | val_r2=0.7894  | lr_enc=7.22e-06 lr_head=3.61e-04 | 54s
Ep  22/50 | loss=0.0168 (pos=0.0162 vel=0.0002 cons=0.0019) | val_r2=0.7878  | lr_enc=6.90e-06 lr_head=3.45e-04 | 54s
Ep  23/50 | loss=0.0167 (pos=0.0161 vel=0.0002 cons=0.0019) | val_r2=0.7896  | lr_enc=6.58e-06 lr_head=3.29e-04 | 54s
Ep  24/50 | loss=0.0165 (pos=0.0159 vel=0.0002 cons=0.0019) | val_r2=0.7926 * | lr_enc=6.25e-06 lr_head=3.12e-04 | 50s
Ep  25/50 | loss=0.0163 (pos=0.0157 vel=0.0002 cons=0.0019) | val_r2=0.8009 * | lr_enc=5.91e-06 lr_head=2.95e-04 | 53s
Ep  26/50 | loss=0.0162 (pos=0.0156 vel=0.0002 cons=0.0019) | val_r2=0.7998  | lr_enc=5.57e-06 lr_head=2.78e-04 | 53s
Ep  27/50 | loss=0.0160 (pos=0.0154 vel=0.0002 cons=0.0018) | val_r2=0.8001  | lr_enc=5.22e-06 lr_head=2.61e-04 | 54s
Ep  28/50 | loss=0.0159 (pos=0.0153 vel=0.0002 cons=0.0018) | val_r2=0.7991  | lr_enc=4.88e-06 lr_head=2.44e-04 | 55s
Ep  29/50 | loss=0.0158 (pos=0.0152 vel=0.0002 cons=0.0018) | val_r2=0.8026 * | lr_enc=4.53e-06 lr_head=2.27e-04 | 52s
Ep  30/50 | loss=0.0157 (pos=0.0151 vel=0.0002 cons=0.0018) | val_r2=0.8012  | lr_enc=4.19e-06 lr_head=2.10e-04 | 53s
