Device: cuda
Config: 10s_50ov_nop1
Window: 500 bins (10.0s), stride: 250 (50% overlap)
Outdir: /scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/runs/10s_50ov_nop1
Train: 159, Val: 28, Val subset: 8
Building dataset...
  16035 windows (10.9s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:124: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:297: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  return loss, {"pos_loss": float(pos_loss), "vel_loss": float(vel_loss), "cons_loss": float(cons_loss)}
Ep   1/50 | loss=0.0847 (pos=0.0840 vel=0.0009 cons=0.0012) | val_r2=-0.4957 * | lr_enc=4.00e-06 lr_head=2.00e-04 | 21s
Ep   2/50 | loss=0.0827 (pos=0.0819 vel=0.0005 cons=0.0019) | val_r2=-0.9062  | lr_enc=6.00e-06 lr_head=3.00e-04 | 19s
Ep   3/50 | loss=0.0808 (pos=0.0799 vel=0.0005 cons=0.0024) | val_r2=-0.5937  | lr_enc=8.00e-06 lr_head=4.00e-04 | 19s
Ep   4/50 | loss=0.0779 (pos=0.0769 vel=0.0005 cons=0.0030) | val_r2=-0.7211  | lr_enc=1.00e-05 lr_head=5.00e-04 | 19s
Ep   5/50 | loss=0.0737 (pos=0.0725 vel=0.0004 cons=0.0037) | val_r2=-0.6540  | lr_enc=1.00e-05 lr_head=5.00e-04 | 19s
Ep   6/50 | loss=0.0689 (pos=0.0676 vel=0.0004 cons=0.0043) | val_r2=-0.5203  | lr_enc=9.99e-06 lr_head=4.99e-04 | 19s
Ep   7/50 | loss=0.0644 (pos=0.0630 vel=0.0004 cons=0.0049) | val_r2=-0.1994 * | lr_enc=9.95e-06 lr_head=4.98e-04 | 19s
Ep   8/50 | loss=0.0607 (pos=0.0591 vel=0.0004 cons=0.0053) | val_r2=-0.0506 * | lr_enc=9.89e-06 lr_head=4.95e-04 | 19s
Ep   9/50 | loss=0.0573 (pos=0.0558 vel=0.0004 cons=0.0055) | val_r2=0.0661 * | lr_enc=9.81e-06 lr_head=4.90e-04 | 19s
Ep  10/50 | loss=0.0548 (pos=0.0532 vel=0.0004 cons=0.0055) | val_r2=0.0350  | lr_enc=9.70e-06 lr_head=4.85e-04 | 19s
Ep  11/50 | loss=0.0524 (pos=0.0508 vel=0.0004 cons=0.0056) | val_r2=0.1234 * | lr_enc=9.57e-06 lr_head=4.79e-04 | 19s
