Device: cuda
Config: 2s_50ov_nop1
Window: 100 bins (2.0s), stride: 50 (50% overlap)
Outdir: /scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/runs/2s_50ov_nop1
Train: 159, Val: 28, Val subset: 8
Building dataset...
  79863 windows (12.1s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:124: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:297: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  return loss, {"pos_loss": float(pos_loss), "vel_loss": float(vel_loss), "cons_loss": float(cons_loss)}
Ep   1/50 | loss=0.0695 (pos=0.0684 vel=0.0005 cons=0.0032) | val_r2=0.3607 * | lr_enc=4.00e-06 lr_head=2.00e-04 | 25s
Ep   2/50 | loss=0.0564 (pos=0.0553 vel=0.0004 cons=0.0038) | val_r2=0.4692 * | lr_enc=6.00e-06 lr_head=3.00e-04 | 23s
Ep   3/50 | loss=0.0457 (pos=0.0446 vel=0.0003 cons=0.0039) | val_r2=0.5673 * | lr_enc=8.00e-06 lr_head=4.00e-04 | 24s
Ep   4/50 | loss=0.0389 (pos=0.0379 vel=0.0003 cons=0.0036) | val_r2=0.6175 * | lr_enc=1.00e-05 lr_head=5.00e-04 | 24s
Ep   5/50 | loss=0.0346 (pos=0.0336 vel=0.0003 cons=0.0032) | val_r2=0.6477 * | lr_enc=1.00e-05 lr_head=5.00e-04 | 23s
Ep   6/50 | loss=0.0317 (pos=0.0308 vel=0.0003 cons=0.0030) | val_r2=0.6677 * | lr_enc=9.99e-06 lr_head=4.99e-04 | 23s
Ep   7/50 | loss=0.0298 (pos=0.0290 vel=0.0003 cons=0.0029) | val_r2=0.6857 * | lr_enc=9.95e-06 lr_head=4.98e-04 | 23s
Ep   8/50 | loss=0.0282 (pos=0.0274 vel=0.0003 cons=0.0028) | val_r2=0.6812  | lr_enc=9.89e-06 lr_head=4.95e-04 | 23s
Ep   9/50 | loss=0.0272 (pos=0.0264 vel=0.0003 cons=0.0027) | val_r2=0.6937 * | lr_enc=9.81e-06 lr_head=4.90e-04 | 23s
Ep  10/50 | loss=0.0262 (pos=0.0254 vel=0.0003 cons=0.0026) | val_r2=0.7023 * | lr_enc=9.70e-06 lr_head=4.85e-04 | 24s
Ep  11/50 | loss=0.0255 (pos=0.0247 vel=0.0003 cons=0.0025) | val_r2=0.7088 * | lr_enc=9.57e-06 lr_head=4.79e-04 | 23s
Ep  12/50 | loss=0.0248 (pos=0.0240 vel=0.0003 cons=0.0025) | val_r2=0.7150 * | lr_enc=9.42e-06 lr_head=4.71e-04 | 24s
Ep  13/50 | loss=0.0242 (pos=0.0234 vel=0.0003 cons=0.0025) | val_r2=0.7088  | lr_enc=9.25e-06 lr_head=4.62e-04 | 23s
Ep  14/50 | loss=0.0237 (pos=0.0229 vel=0.0003 cons=0.0024) | val_r2=0.7219 * | lr_enc=9.05e-06 lr_head=4.53e-04 | 23s
Ep  15/50 | loss=0.0232 (pos=0.0225 vel=0.0003 cons=0.0024) | val_r2=0.7133  | lr_enc=8.84e-06 lr_head=4.42e-04 | 24s
