Device: cuda
Config: 20s_75ov_nop1
Window: 1000 bins (20.0s), stride: 250 (75% overlap)
Outdir: /scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/runs/20s_75ov_nop1
Train: 159, Val: 28, Val subset: 8
Building dataset...
  16035 windows (12.7s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:124: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:297: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  return loss, {"pos_loss": float(pos_loss), "vel_loss": float(vel_loss), "cons_loss": float(cons_loss)}
Ep   1/50 | loss=0.0847 (pos=0.0840 vel=0.0009 cons=0.0012) | val_r2=-1.4581 * | lr_enc=4.00e-06 lr_head=2.00e-04 | 23s
Ep   2/50 | loss=0.0835 (pos=0.0829 vel=0.0005 cons=0.0015) | val_r2=-1.8440  | lr_enc=6.00e-06 lr_head=3.00e-04 | 21s
Ep   3/50 | loss=0.0829 (pos=0.0822 vel=0.0005 cons=0.0019) | val_r2=-2.4734  | lr_enc=8.00e-06 lr_head=4.00e-04 | 21s
Ep   4/50 | loss=0.0820 (pos=0.0812 vel=0.0005 cons=0.0023) | val_r2=-1.5603  | lr_enc=1.00e-05 lr_head=5.00e-04 | 21s
Ep   5/50 | loss=0.0805 (pos=0.0796 vel=0.0005 cons=0.0027) | val_r2=-1.8775  | lr_enc=1.00e-05 lr_head=5.00e-04 | 21s
Ep   6/50 | loss=0.0785 (pos=0.0775 vel=0.0005 cons=0.0031) | val_r2=-1.7071  | lr_enc=9.99e-06 lr_head=4.99e-04 | 21s
Ep   7/50 | loss=0.0763 (pos=0.0752 vel=0.0005 cons=0.0035) | val_r2=-1.8681  | lr_enc=9.95e-06 lr_head=4.98e-04 | 21s
Ep   8/50 | loss=0.0737 (pos=0.0724 vel=0.0005 cons=0.0041) | val_r2=-1.1558 * | lr_enc=9.89e-06 lr_head=4.95e-04 | 21s
Ep   9/50 | loss=0.0707 (pos=0.0693 vel=0.0005 cons=0.0046) | val_r2=-1.0096 * | lr_enc=9.81e-06 lr_head=4.90e-04 | 21s
Ep  10/50 | loss=0.0677 (pos=0.0662 vel=0.0004 cons=0.0051) | val_r2=-0.8038 * | lr_enc=9.70e-06 lr_head=4.85e-04 | 21s
Ep  11/50 | loss=0.0647 (pos=0.0631 vel=0.0004 cons=0.0055) | val_r2=-0.9064  | lr_enc=9.57e-06 lr_head=4.79e-04 | 21s
