Device: cuda
Config: 20s_75ov
Window: 1000 bins (20.0s), stride: 250 (75% overlap)
Outdir: /scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/runs/20s_75ov
Train: 159, Val: 28, Val subset: 8
Building dataset...
  Added Phase 1 data: 226 sessions (['train'])
  38686 windows (34.5s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:124: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:297: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  return loss, {"pos_loss": float(pos_loss), "vel_loss": float(vel_loss), "cons_loss": float(cons_loss)}
Ep   1/50 | loss=0.0858 (pos=0.0851 vel=0.0007 cons=0.0014) | val_r2=-1.5717 * | lr_enc=4.00e-06 lr_head=2.00e-04 | 60s
Ep   2/50 | loss=0.0846 (pos=0.0839 vel=0.0005 cons=0.0019) | val_r2=-2.3676  | lr_enc=6.00e-06 lr_head=3.00e-04 | 56s
Ep   3/50 | loss=0.0830 (pos=0.0821 vel=0.0005 cons=0.0025) | val_r2=-1.7124  | lr_enc=8.00e-06 lr_head=4.00e-04 | 49s
Ep   4/50 | loss=0.0798 (pos=0.0788 vel=0.0005 cons=0.0032) | val_r2=-1.8379  | lr_enc=1.00e-05 lr_head=5.00e-04 | 48s
Ep   5/50 | loss=0.0748 (pos=0.0736 vel=0.0005 cons=0.0041) | val_r2=-1.4514 * | lr_enc=1.00e-05 lr_head=5.00e-04 | 48s
Ep   6/50 | loss=0.0678 (pos=0.0663 vel=0.0005 cons=0.0052) | val_r2=-0.9624 * | lr_enc=9.99e-06 lr_head=4.99e-04 | 48s
Ep   7/50 | loss=0.0609 (pos=0.0593 vel=0.0004 cons=0.0058) | val_r2=-0.6205 * | lr_enc=9.95e-06 lr_head=4.98e-04 | 48s
Ep   8/50 | loss=0.0554 (pos=0.0537 vel=0.0004 cons=0.0060) | val_r2=-0.2062 * | lr_enc=9.89e-06 lr_head=4.95e-04 | 48s
Ep   9/50 | loss=0.0514 (pos=0.0497 vel=0.0004 cons=0.0059) | val_r2=-0.1583 * | lr_enc=9.81e-06 lr_head=4.90e-04 | 48s
Ep  10/50 | loss=0.0483 (pos=0.0466 vel=0.0004 cons=0.0059) | val_r2=-0.0865 * | lr_enc=9.70e-06 lr_head=4.85e-04 | 48s
Ep  11/50 | loss=0.0458 (pos=0.0442 vel=0.0004 cons=0.0057) | val_r2=-0.0410 * | lr_enc=9.57e-06 lr_head=4.79e-04 | 48s
Ep  12/50 | loss=0.0438 (pos=0.0422 vel=0.0004 cons=0.0056) | val_r2=-0.2702  | lr_enc=9.42e-06 lr_head=4.71e-04 | 48s
Ep  13/50 | loss=0.0421 (pos=0.0405 vel=0.0004 cons=0.0055) | val_r2=0.0097 * | lr_enc=9.25e-06 lr_head=4.62e-04 | 48s
Ep  14/50 | loss=0.0406 (pos=0.0391 vel=0.0004 cons=0.0054) | val_r2=-0.0645  | lr_enc=9.05e-06 lr_head=4.53e-04 | 48s
Ep  15/50 | loss=0.0393 (pos=0.0378 vel=0.0004 cons=0.0053) | val_r2=-0.0617  | lr_enc=8.84e-06 lr_head=4.42e-04 | 48s
Ep  16/50 | loss=0.0382 (pos=0.0367 vel=0.0004 cons=0.0052) | val_r2=-0.2408  | lr_enc=8.61e-06 lr_head=4.31e-04 | 48s
Ep  17/50 | loss=0.0372 (pos=0.0357 vel=0.0004 cons=0.0051) | val_r2=-0.1789  | lr_enc=8.36e-06 lr_head=4.18e-04 | 48s
Ep  18/50 | loss=0.0363 (pos=0.0349 vel=0.0004 cons=0.0051) | val_r2=-0.0286  | lr_enc=8.10e-06 lr_head=4.05e-04 | 49s
Ep  19/50 | loss=0.0355 (pos=0.0341 vel=0.0004 cons=0.0050) | val_r2=-0.2102  | lr_enc=7.82e-06 lr_head=3.91e-04 | 48s
Ep  20/50 | loss=0.0348 (pos=0.0334 vel=0.0004 cons=0.0049) | val_r2=-0.0164  | lr_enc=7.52e-06 lr_head=3.76e-04 | 48s
Ep  21/50 | loss=0.0342 (pos=0.0328 vel=0.0004 cons=0.0049) | val_r2=-0.0156  | lr_enc=7.22e-06 lr_head=3.61e-04 | 48s
Ep  22/50 | loss=0.0336 (pos=0.0322 vel=0.0004 cons=0.0048) | val_r2=-0.0498  | lr_enc=6.90e-06 lr_head=3.45e-04 | 48s
Ep  23/50 | loss=0.0330 (pos=0.0316 vel=0.0004 cons=0.0048) | val_r2=0.0144 * | lr_enc=6.58e-06 lr_head=3.29e-04 | 48s
Ep  24/50 | loss=0.0326 (pos=0.0312 vel=0.0004 cons=0.0047) | val_r2=-0.0777  | lr_enc=6.25e-06 lr_head=3.12e-04 | 48s
Ep  25/50 | loss=0.0321 (pos=0.0307 vel=0.0004 cons=0.0047) | val_r2=0.0309 * | lr_enc=5.91e-06 lr_head=2.95e-04 | 48s
Ep  26/50 | loss=0.0317 (pos=0.0304 vel=0.0004 cons=0.0047) | val_r2=-0.0581  | lr_enc=5.57e-06 lr_head=2.78e-04 | 48s
Ep  27/50 | loss=0.0313 (pos=0.0300 vel=0.0003 cons=0.0046) | val_r2=-0.0654  | lr_enc=5.22e-06 lr_head=2.61e-04 | 48s
Ep  28/50 | loss=0.0309 (pos=0.0296 vel=0.0003 cons=0.0046) | val_r2=-0.0016  | lr_enc=4.88e-06 lr_head=2.44e-04 | 48s
Ep  29/50 | loss=0.0307 (pos=0.0294 vel=0.0003 cons=0.0046) | val_r2=-0.0032  | lr_enc=4.53e-06 lr_head=2.27e-04 | 48s
Ep  30/50 | loss=0.0304 (pos=0.0291 vel=0.0003 cons=0.0045) | val_r2=0.0667 * | lr_enc=4.19e-06 lr_head=2.10e-04 | 48s
Ep  31/50 | loss=0.0301 (pos=0.0288 vel=0.0003 cons=0.0045) | val_r2=0.0456  | lr_enc=3.85e-06 lr_head=1.93e-04 | 48s
Ep  32/50 | loss=0.0299 (pos=0.0286 vel=0.0003 cons=0.0045) | val_r2=0.1122 * | lr_enc=3.52e-06 lr_head=1.76e-04 | 48s
Ep  33/50 | loss=0.0297 (pos=0.0284 vel=0.0003 cons=0.0045) | val_r2=0.0614  | lr_enc=3.20e-06 lr_head=1.60e-04 | 48s
Ep  34/50 | loss=0.0295 (pos=0.0282 vel=0.0003 cons=0.0045) | val_r2=0.0798  | lr_enc=2.88e-06 lr_head=1.44e-04 | 48s
Ep  35/50 | loss=0.0293 (pos=0.0281 vel=0.0003 cons=0.0045) | val_r2=0.0344  | lr_enc=2.58e-06 lr_head=1.29e-04 | 48s
Ep  36/50 | loss=0.0292 (pos=0.0279 vel=0.0003 cons=0.0044) | val_r2=0.1165 * | lr_enc=2.28e-06 lr_head=1.14e-04 | 48s
Ep  37/50 | loss=0.0290 (pos=0.0277 vel=0.0003 cons=0.0044) | val_r2=0.0830  | lr_enc=2.00e-06 lr_head=1.00e-04 | 48s
Ep  38/50 | loss=0.0289 (pos=0.0277 vel=0.0003 cons=0.0044) | val_r2=0.0441  | lr_enc=1.74e-06 lr_head=8.69e-05 | 48s
Ep  39/50 | loss=0.0288 (pos=0.0275 vel=0.0003 cons=0.0044) | val_r2=0.0375  | lr_enc=1.49e-06 lr_head=7.45e-05 | 48s
Ep  40/50 | loss=0.0287 (pos=0.0274 vel=0.0003 cons=0.0044) | val_r2=0.1164  | lr_enc=1.26e-06 lr_head=6.29e-05 | 48s
Ep  41/50 | loss=0.0287 (pos=0.0274 vel=0.0003 cons=0.0044) | val_r2=0.0901  | lr_enc=1.05e-06 lr_head=5.23e-05 | 48s
Ep  42/50 | loss=0.0286 (pos=0.0273 vel=0.0003 cons=0.0044) | val_r2=0.1029  | lr_enc=8.52e-07 lr_head=4.26e-05 | 48s
Ep  43/50 | loss=0.0285 (pos=0.0272 vel=0.0003 cons=0.0044) | val_r2=0.1111  | lr_enc=6.79e-07 lr_head=3.40e-05 | 48s
Ep  44/50 | loss=0.0285 (pos=0.0272 vel=0.0003 cons=0.0044) | val_r2=0.1014  | lr_enc=5.28e-07 lr_head=2.64e-05 | 48s
Ep  45/50 | loss=0.0284 (pos=0.0272 vel=0.0003 cons=0.0044) | val_r2=0.0887  | lr_enc=3.99e-07 lr_head=1.99e-05 | 48s
Ep  46/50 | loss=0.0284 (pos=0.0271 vel=0.0003 cons=0.0044) | val_r2=0.1000  | lr_enc=2.92e-07 lr_head=1.46e-05 | 48s
Ep  47/50 | loss=0.0284 (pos=0.0271 vel=0.0003 cons=0.0044) | val_r2=0.1035  | lr_enc=2.08e-07 lr_head=1.04e-05 | 48s
Ep  48/50 | loss=0.0284 (pos=0.0271 vel=0.0003 cons=0.0044) | val_r2=0.1093  | lr_enc=1.48e-07 lr_head=7.41e-06 | 48s
Ep  49/50 | loss=0.0283 (pos=0.0271 vel=0.0003 cons=0.0044) | val_r2=0.1041  | lr_enc=1.12e-07 lr_head=5.60e-06 | 48s
Ep  50/50 | loss=0.0284 (pos=0.0271 vel=0.0003 cons=0.0044) | val_r2=0.1137  | lr_enc=1.00e-07 lr_head=5.00e-06 | 48s

Full validation with best model...
Full val R²: 0.0308 (best epoch 36)
Saved to /scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/runs/20s_75ov/
