Device: cuda
Config: 5s_88ov
Window: 250 bins (5.0s), stride: 31 (88% overlap)
Outdir: /scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/runs/5s_88ov
Train: 159, Val: 28, Val subset: 8
Building dataset...
  Added Phase 1 data: 226 sessions (['train'])
  310651 windows (25.8s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:124: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:297: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  return loss, {"pos_loss": float(pos_loss), "vel_loss": float(vel_loss), "cons_loss": float(cons_loss)}
Ep   1/50 | loss=0.0694 (pos=0.0681 vel=0.0005 cons=0.0040) | val_r2=0.2860 * | lr_enc=4.00e-06 lr_head=2.00e-04 | 185s
Ep   2/50 | loss=0.0486 (pos=0.0472 vel=0.0004 cons=0.0050) | val_r2=0.5291 * | lr_enc=6.00e-06 lr_head=3.00e-04 | 183s
Ep   3/50 | loss=0.0374 (pos=0.0362 vel=0.0003 cons=0.0043) | val_r2=0.5907 * | lr_enc=8.00e-06 lr_head=4.00e-04 | 183s
Ep   4/50 | loss=0.0308 (pos=0.0297 vel=0.0003 cons=0.0038) | val_r2=0.6451 * | lr_enc=1.00e-05 lr_head=5.00e-04 | 183s
Ep   5/50 | loss=0.0267 (pos=0.0257 vel=0.0003 cons=0.0033) | val_r2=0.6942 * | lr_enc=1.00e-05 lr_head=5.00e-04 | 183s
Ep   6/50 | loss=0.0239 (pos=0.0230 vel=0.0003 cons=0.0030) | val_r2=0.7157 * | lr_enc=9.99e-06 lr_head=4.99e-04 | 184s
Ep   7/50 | loss=0.0221 (pos=0.0212 vel=0.0003 cons=0.0028) | val_r2=0.7002  | lr_enc=9.95e-06 lr_head=4.98e-04 | 184s
Ep   8/50 | loss=0.0207 (pos=0.0199 vel=0.0003 cons=0.0027) | val_r2=0.7423 * | lr_enc=9.89e-06 lr_head=4.95e-04 | 183s
Ep   9/50 | loss=0.0197 (pos=0.0189 vel=0.0003 cons=0.0026) | val_r2=0.7628 * | lr_enc=9.81e-06 lr_head=4.90e-04 | 183s
Ep  10/50 | loss=0.0188 (pos=0.0180 vel=0.0003 cons=0.0025) | val_r2=0.7656 * | lr_enc=9.70e-06 lr_head=4.85e-04 | 184s
Ep  11/50 | loss=0.0181 (pos=0.0173 vel=0.0003 cons=0.0024) | val_r2=0.7769 * | lr_enc=9.57e-06 lr_head=4.79e-04 | 183s
Ep  12/50 | loss=0.0174 (pos=0.0167 vel=0.0003 cons=0.0023) | val_r2=0.7847 * | lr_enc=9.42e-06 lr_head=4.71e-04 | 184s
Ep  13/50 | loss=0.0169 (pos=0.0162 vel=0.0003 cons=0.0022) | val_r2=0.7894 * | lr_enc=9.25e-06 lr_head=4.62e-04 | 183s
Ep  14/50 | loss=0.0164 (pos=0.0157 vel=0.0003 cons=0.0022) | val_r2=0.7921 * | lr_enc=9.05e-06 lr_head=4.53e-04 | 183s
Ep  15/50 | loss=0.0160 (pos=0.0153 vel=0.0003 cons=0.0022) | val_r2=0.8066 * | lr_enc=8.84e-06 lr_head=4.42e-04 | 183s
Ep  16/50 | loss=0.0156 (pos=0.0149 vel=0.0003 cons=0.0021) | val_r2=0.8038  | lr_enc=8.61e-06 lr_head=4.31e-04 | 183s
Ep  17/50 | loss=0.0152 (pos=0.0146 vel=0.0003 cons=0.0021) | val_r2=0.8122 * | lr_enc=8.36e-06 lr_head=4.18e-04 | 184s
Ep  18/50 | loss=0.0149 (pos=0.0142 vel=0.0003 cons=0.0021) | val_r2=0.8202 * | lr_enc=8.10e-06 lr_head=4.05e-04 | 183s
Ep  19/50 | loss=0.0146 (pos=0.0139 vel=0.0003 cons=0.0021) | val_r2=0.8144  | lr_enc=7.82e-06 lr_head=3.91e-04 | 184s
Ep  20/50 | loss=0.0143 (pos=0.0137 vel=0.0003 cons=0.0020) | val_r2=0.8238 * | lr_enc=7.52e-06 lr_head=3.76e-04 | 183s
