Device: cuda
Train: 159, Val: 28
Building dataset...
  59601 trials (12.2s)
/scratch/ml8347/neuroinformatics/project2/phase2/transformer_decoder/train.py:74: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 3,246,210
Ep   1/50 | loss=0.0552 | val_r2=0.4688 * | lr=1.20e-04 | 15s
Ep   2/50 | loss=0.0386 | val_r2=0.5687 * | lr=1.80e-04 | 14s
Ep   3/50 | loss=0.0321 | val_r2=0.5684  | lr=2.40e-04 | 14s
Ep   4/50 | loss=0.0290 | val_r2=0.6100 * | lr=3.00e-04 | 14s
Ep   5/50 | loss=0.0270 | val_r2=0.6117 * | lr=3.00e-04 | 14s
Ep   6/50 | loss=0.0246 | val_r2=0.6189 * | lr=3.00e-04 | 14s
Ep   7/50 | loss=0.0225 | val_r2=0.6737 * | lr=2.99e-04 | 14s
Ep   8/50 | loss=0.0208 | val_r2=0.6715  | lr=2.97e-04 | 15s
Ep   9/50 | loss=0.0198 | val_r2=0.6494  | lr=2.94e-04 | 15s
Ep  10/50 | loss=0.0187 | val_r2=0.6562  | lr=2.91e-04 | 14s
Ep  11/50 | loss=0.0177 | val_r2=0.5700  | lr=2.87e-04 | 15s
Ep  12/50 | loss=0.0169 | val_r2=0.6528  | lr=2.83e-04 | 14s
Ep  13/50 | loss=0.0159 | val_r2=0.6491  | lr=2.77e-04 | 14s
Ep  14/50 | loss=0.0153 | val_r2=0.6016  | lr=2.72e-04 | 15s
Ep  15/50 | loss=0.0146 | val_r2=0.6337  | lr=2.65e-04 | 15s
Ep  16/50 | loss=0.0138 | val_r2=0.6747 * | lr=2.58e-04 | 14s
Ep  17/50 | loss=0.0135 | val_r2=0.5956  | lr=2.51e-04 | 15s
Ep  18/50 | loss=0.0127 | val_r2=0.6170  | lr=2.43e-04 | 14s
Ep  19/50 | loss=0.0122 | val_r2=0.6301  | lr=2.35e-04 | 14s
Ep  20/50 | loss=0.0117 | val_r2=0.6230  | lr=2.26e-04 | 15s
Ep  21/50 | loss=0.0115 | val_r2=0.5954  | lr=2.17e-04 | 15s
Ep  22/50 | loss=0.0108 | val_r2=0.6580  | lr=2.07e-04 | 14s
Ep  23/50 | loss=0.0105 | val_r2=0.6202  | lr=1.97e-04 | 14s
Ep  24/50 | loss=0.0100 | val_r2=0.6258  | lr=1.87e-04 | 14s
Ep  25/50 | loss=0.0094 | val_r2=0.6106  | lr=1.77e-04 | 14s
Ep  26/50 | loss=0.0091 | val_r2=0.5770  | lr=1.67e-04 | 14s
Ep  27/50 | loss=0.0087 | val_r2=0.5629  | lr=1.57e-04 | 14s
Ep  28/50 | loss=0.0082 | val_r2=0.5926  | lr=1.46e-04 | 15s
Ep  29/50 | loss=0.0078 | val_r2=0.5697  | lr=1.36e-04 | 15s
Ep  30/50 | loss=0.0074 | val_r2=0.5831  | lr=1.26e-04 | 15s
Ep  31/50 | loss=0.0071 | val_r2=0.5967  | lr=1.16e-04 | 14s
Ep  32/50 | loss=0.0068 | val_r2=0.5993  | lr=1.06e-04 | 15s
Ep  33/50 | loss=0.0065 | val_r2=0.5844  | lr=9.59e-05 | 14s
Ep  34/50 | loss=0.0063 | val_r2=0.6018  | lr=8.64e-05 | 14s
Ep  35/50 | loss=0.0060 | val_r2=0.5899  | lr=7.73e-05 | 15s
Ep  36/50 | loss=0.0058 | val_r2=0.5971  | lr=6.85e-05 | 14s
Ep  37/50 | loss=0.0056 | val_r2=0.5823  | lr=6.01e-05 | 14s
Ep  38/50 | loss=0.0054 | val_r2=0.5883  | lr=5.21e-05 | 14s
Ep  39/50 | loss=0.0053 | val_r2=0.5815  | lr=4.47e-05 | 14s
Ep  40/50 | loss=0.0051 | val_r2=0.5784  | lr=3.77e-05 | 15s
Ep  41/50 | loss=0.0050 | val_r2=0.5833  | lr=3.14e-05 | 14s
Ep  42/50 | loss=0.0049 | val_r2=0.5822  | lr=2.56e-05 | 14s
Ep  43/50 | loss=0.0048 | val_r2=0.5791  | lr=2.04e-05 | 14s
Ep  44/50 | loss=0.0047 | val_r2=0.5860  | lr=1.58e-05 | 14s
Ep  45/50 | loss=0.0046 | val_r2=0.5799  | lr=1.20e-05 | 14s
Ep  46/50 | loss=0.0046 | val_r2=0.5827  | lr=8.75e-06 | 14s
Ep  47/50 | loss=0.0045 | val_r2=0.5852  | lr=6.25e-06 | 15s
Ep  48/50 | loss=0.0045 | val_r2=0.5799  | lr=4.45e-06 | 14s
Ep  49/50 | loss=0.0045 | val_r2=0.5775  | lr=3.36e-06 | 14s
Ep  50/50 | loss=0.0045 | val_r2=0.5785  | lr=3.00e-06 | 15s

Full validation with best model...
Full val R²: 0.4722 (best epoch 16)
Saved config.json, best_model.pt, last_model.pt
